x_coords,y_coords,pa,t,missing,ID,video_index,step
1298.699951171875,717.7000122070312,1291,2269832,0,0043er,94,1
1153.5999755859375,980.7000122070312,1251,2270339,0,0043er,94,2
1187.699951171875,1065,1282,2270833,0,0043er,94,3
1239.199951171875,974.2000122070312,1273,2271881,0,0043er,94,4
1239.199951171875,974.2000122070312,1273,2271881,0,0043er,94,5
1235.699951171875,958,1240,2272461,0,0043er,94,6
1287.4000244140625,1036.5999755859375,1205,2272835,0,0043er,94,7
1270.0999755859375,1021.9000244140625,1251,2273337,0,0043er,94,8
1239.4000244140625,1018.5,1216,2273836,0,0043er,94,9
1285.5999755859375,1011.4000244140625,1154,2274334,0,0043er,94,10
1301.4000244140625,1019.4000244140625,1175,2274832,0,0043er,94,11
1257.5999755859375,876.7000122070312,1191,2275333,0,0043er,94,12
994.7000122070312,986.7000122070312,1360,2275836,0,0043er,94,13
1017.7000122070312,1015.7000122070312,1282,2276335,0,0043er,94,14
1023.4000244140625,1023.2000122070312,1241,2276835,0,0043er,94,15
1079.699951171875,1005.5999755859375,1256,2277461,0,0043er,94,16
1080.199951171875,1003.0999755859375,1273,2277835,0,0043er,94,17
1051,978.9000244140625,1307,2278335,0,0043er,94,18
1039.300048828125,1011.5,1338,2278833,0,0043er,94,19
1120.800048828125,992,1295,2279454,0,0043er,94,20
1111.0999755859375,1003.0999755859375,1338,2279835,0,0043er,94,21
1150.0999755859375,1009.2999877929688,1268,2280334,0,0043er,94,22
1680,574.2999877929688,1229,2280833,0,0043er,94,23
1477.0999755859375,552.7000122070312,1287,2281337,0,0043er,94,24
551,655.2999877929688,1278,2281834,0,0043er,94,25
1421.800048828125,853.7999877929688,1336,2282335,0,0043er,94,26
976.2999877929688,1053.5999755859375,1286,2282836,0,0043er,94,27
1108.199951171875,1023.7000122070312,1293,2283334,0,0043er,94,28
1175.199951171875,859.2999877929688,1303,2283836,0,0043er,94,29
1459.4000244140625,581.9000244140625,1231,2284333,0,0043er,94,30
1122.199951171875,1042.199951171875,1244,2284900,0,0043er,94,31
1116.300048828125,1072.0999755859375,1255,2285333,0,0043er,94,32
1104,1031,1233,2285832,0,0043er,94,33
1117,1034.800048828125,1273,2286532,0,0043er,94,34
1108.4000244140625,1052.0999755859375,1272,2286832,0,0043er,94,35
1125.0999755859375,880.5,1253,2287337,0,0043er,94,36
948.2999877929688,854.0999755859375,1216,2287837,0,0043er,94,37
1102.5999755859375,872.0999755859375,1296,2288334,0,0043er,94,38
1153.800048828125,865.7999877929688,1373,2288836,0,0043er,94,39
1115.199951171875,806.5,1320,2289341,0,0043er,94,40
1053.4000244140625,827.5,1262,2289946,0,0043er,94,41
1062.699951171875,864.7999877929688,1275,2290332,0,0043er,94,42
1161,849.5,1291,2290837,0,0043er,94,43
1139.300048828125,849.7000122070312,1317,2291336,0,0043er,94,44
927.2000122070312,821.7999877929688,1384,2291837,0,0043er,94,45
961.5,828.2999877929688,1318,2292333,0,0043er,94,46
1140,827.0999755859375,1314,2292832,0,0043er,94,47
1133.800048828125,816.9000244140625,1249,2293481,0,0043er,94,48
1114.0999755859375,859.0999755859375,1290,2293832,0,0043er,94,49
1117.4000244140625,873.7000122070312,1264,2294337,0,0043er,94,50
1049.4000244140625,869.2000122070312,1256,2294834,0,0043er,94,51
1057.800048828125,905.2999877929688,1243,2295337,0,0043er,94,52
1097.4000244140625,903.4000244140625,1239,2295836,0,0043er,94,53
1120,899,1297,2296335,0,0043er,94,54
1113.0999755859375,903.7999877929688,1368,2296835,0,0043er,94,55
1112.0999755859375,913.4000244140625,1352,2297334,0,0043er,94,56
936,859.7999877929688,1280,2297835,0,0043er,94,57
1532.0999755859375,601.2000122070312,1275,2298333,0,0043er,94,58
550.0999755859375,857.2999877929688,1257,2298835,0,0043er,94,59
1124.300048828125,904.7999877929688,1419,2299332,0,0043er,94,60
1303.4000244140625,779,1192,1979827,0,0043er,95,1
1741.800048828125,535.2999877929688,1142,1980331,0,0043er,95,2
521.2999877929688,588.5,1466,1980833,0,0043er,95,3
931.9000244140625,700.4000244140625,1415,1981332,0,0043er,95,4
445.29998779296875,559.2999877929688,1452,1981830,0,0043er,95,5
448.1000061035156,540.5,1378,1982327,0,0043er,95,6
1811.4000244140625,543.0999755859375,1355,1982833,0,0043er,95,7
1752.800048828125,513,1399,1983329,0,0043er,95,8
1881,739.2999877929688,1354,1983828,0,0043er,95,9
1887.199951171875,790.7000122070312,1467,1984331,0,0043er,95,10
1814.5,751.2000122070312,1510,1984827,0,0043er,95,11
1665.0999755859375,632.7999877929688,1445,1985329,0,0043er,95,12
871.9000244140625,648.5999755859375,1357,1985829,0,0043er,95,13
427.79998779296875,547.2999877929688,1286,1986327,0,0043er,95,14
954.2000122070312,671.7999877929688,1343,1986832,0,0043er,95,15
1803.300048828125,555.2999877929688,1292,1987327,0,0043er,95,16
1763.9000244140625,514.9000244140625,1289,1987831,0,0043er,95,17
1768.199951171875,593.2000122070312,1326,1988329,0,0043er,95,18
1764.800048828125,603.0999755859375,1469,1988831,0,0043er,95,19
1853.0999755859375,633.2000122070312,1392,1989330,0,0043er,95,20
2203.100098,1104,1028,1989828,0,0043er,95,21
1226.4000244140625,578.5,1407,1990327,0,0043er,95,22
769,593.2000122070312,1331,1990832,0,0043er,95,23
843.4000244140625,590.5,1346,1991330,0,0043er,95,24
819.5,695.4000244140625,1343,1991829,0,0043er,95,25
932.7000122070312,738.4000244140625,1393,1992331,0,0043er,95,26
1593.4000244140625,530.0999755859375,1417,1992831,0,0043er,95,27
1628.800048828125,543.5,1531,1993331,0,0043er,95,28
1633.199951171875,548.5,1496,1993827,0,0043er,95,29
1689.800048828125,553.2999877929688,1543,1994327,0,0043er,95,30
1759.699951171875,542,1449,1994827,0,0043er,95,31
1792.699951171875,567.2999877929688,1466,1995331,0,0043er,95,32
1803.5,566.9000244140625,1529,1995828,0,0043er,95,33
1375.5,612.0999755859375,1533,1996327,0,0043er,95,34
1419.0999755859375,633.7000122070312,1654,1996827,0,0043er,95,35
1392.4000244140625,590.4000244140625,1708,1997328,0,0043er,95,36
1367.5999755859375,620.2000122070312,1610,1997829,0,0043er,95,37
1420.4000244140625,553.7000122070312,1540,1998330,0,0043er,95,38
1692.9000244140625,546.2000122070312,1490,1998828,0,0043er,95,39
1639.300048828125,616.9000244140625,1725,1999328,0,0043er,95,40
1600.9000244140625,605.4000244140625,1721,1999847,0,0043er,95,41
1700.300048828125,650.7000122070312,1668,2000327,0,0043er,95,42
1712.199951171875,625.7000122070312,1536,2000831,0,0043er,95,43
1674.0999755859375,889.4000244140625,1652,2001328,0,0043er,95,44
1688.300048828125,568.5,1706,2001827,0,0043er,95,45
1138.300048828125,1141.199951171875,1669,2002331,0,0043er,95,46
1638,533.4000244140625,1516,2002828,0,0043er,95,47
1653.300048828125,539.2000122070312,1661,2003329,0,0043er,95,48
850.4000244140625,590.0999755859375,1571,2003830,0,0043er,95,49
862.9000244140625,586.7999877929688,1328,2004327,0,0043er,95,50
2394.100098,646.9000244140625,1386,2005226,0,0043er,95,51
933.9000244140625,558.5,1389,2005355,0,0043er,95,52
206.3000030517578,555.9000244140625,1360,2005829,0,0043er,95,53
874.5,543.9000244140625,1373,2006332,0,0043er,95,54
1284.0999755859375,503.5,1385,2006851,0,0043er,95,55
2097.899902,599,1292,2007331,0,0043er,95,56
2351.899902,677.7000122070312,1337,2007827,0,0043er,95,57
1117.199951171875,571.2000122070312,1513,2008327,0,0043er,95,58
941,555.2999877929688,1396,2008831,0,0043er,95,59
1025.699951171875,543.5999755859375,1384,2009330,0,0043er,95,60
1275.4000244140625,728.7999877929688,824,271039804,0,0724er,70,1
1710,779,806,271040307,0,0724er,70,2
1313.9000244140625,774.2000122070312,873,271040807,0,0724er,70,3
2230.699951171875,1410.5,224,271041305,0,0724er,70,4
1430.300048828125,232.5,999,271041806,0,0724er,70,5
1100.4000244140625,313.70001220703125,952,271042307,0,0724er,70,6
1019.2000122070312,413.1000061035156,911,271042804,0,0724er,70,7
976.9000244140625,435.3999938964844,958,271043308,0,0724er,70,8
1452.0999755859375,1020.7000122070312,996,271043804,0,0724er,70,9
2333.100098,1131.4000244140625,300,271044319,0,0724er,70,10
2043,326.1000061035156,906,271044804,0,0724er,70,11
700.9000244140625,975.7000122070312,966,271045309,0,0724er,70,12
1907.5999755859375,422.29998779296875,904,271045805,0,0724er,70,13
1761.300048828125,301.3999938964844,942,271046308,0,0724er,70,14
1752.300048828125,279.20001220703125,945,271046808,0,0724er,70,15
979.7999877929688,965,1000,271047307,0,0724er,70,16
2089.199951171875,389.6000061035156,899,271047805,0,0724er,70,17
624.0999755859375,852,1021,271048307,0,0724er,70,18
731.2000122070312,1163.5999755859375,893,271048804,0,0724er,70,19
634.4000244140625,859.0999755859375,829,271049305,0,0724er,70,20
941.7999877929688,1407.699951171875,947,271049808,0,0724er,70,21
1522.800048828125,1251.800048828125,943,271050305,0,0724er,70,22
1591,1242.300048828125,934,271050807,0,0724er,70,23
879.7999877929688,1205.699951171875,969,271051308,0,0724er,70,24
1614.199951171875,1229.5,962,271051805,0,0724er,70,25
751.9000244140625,1123.5,989,271052309,0,0724er,70,26
899.4000244140625,853.7999877929688,981,271052806,0,0724er,70,27
